po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location
PO100000,2024-12-06,SUP1025,Equipment Supplier 7 (GER),MAT2039,Equipment Item 1,Equipment,666,327476.7,218099481.96,162322.96,USD,2025-02-23,2025-03-11,Delivered,Paid,Sarah Ahmed,Lagos
PO100001,2025-10-11,SUP1024,Equipment Supplier 6 (IND),MAT2052,Equipment Item 14,Equipment,49,20119.69,985864.68,859.03,USD,2025-11-29,2025-12-14,Delivered,Paid,Sarah Ahmed,Kano
PO100002,2024-09-06,SUP1021,Equipment Supplier 3 (NIG),MAT2045,Equipment Item 7,Equipment,55,378704.42,20828743.33,,NGN,2024-11-22,2024-11-22,Delivered,Paid,Sarah Ahmed,Ibadan
PO100003,2024-05-06,SUP1021,Equipment Supplier 3 (NIG),MAT2042,Equipment Item 4,Equipment,648,428952.08,277960950.33,,NGN,2024-06-29,2024-07-13,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100004,2026-02-07,SUP1026,Equipment Supplier 8 (NIG),MAT2044,Equipment Item 6,Equipment,577,275709.79,159084550.47,,NGN,2026-05-08,,Pending,Pending,Chidi Eze,Kano
PO100005,2024-08-21,SUP1025,Equipment Supplier 7 (GER),MAT2039,Equipment Item 1,Equipment,425,332266.46,141213246.93,176444.93,USD,2024-11-08,2024-11-08,Delivered,Pending,Sarah Ahmed,Ibadan
PO100006,2025-05-22,SUP1015,Packaging Supplier 8 (NIG),MAT2037,Packaging Item 17,Packaging,533,349205.86,186126722.03,,NGN,2025-07-06,2025-07-11,Delivered,Pending,Chidi Eze,Kano
PO100007,2025-12-04,SUP1021,Equipment Supplier 3 (NIG),MAT2047,Equipment Item 9,Equipment,105,156120.04,16392604.2,,NGN,2025-12-24,2026-01-07,Delivered,Paid,John Obi,Lagos
PO100008,2024-04-12,SUP1012,Packaging Supplier 5 (USA),MAT2029,Packaging Item 9,Packaging,496,31643.75,15695299.91,11093.72,USD,2024-06-23,2024-06-30,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100009,2024-10-31,SUP1013,Packaging Supplier 6 (NIG),MAT2026,Packaging Item 6,Packaging,681,544940.34,371104370.56,,NGN,2025-01-20,2025-01-21,Delivered,Paid,John Obi,Kano
PO100010,2025-08-08,SUP1037,Services Supplier 10 (NIG),MAT2067,Services Item 14,Services,61,107496.48,6557285.2,,NGN,2025-10-12,2025-10-14,Delivered,Overdue,Chidi Eze,Kano
PO100011,2025-09-19,SUP1026,Equipment Supplier 8 (NIG),MAT2047,Equipment Item 9,Equipment,982,152769.3,150019454.32,,NGN,2025-10-09,2025-11-05,Delivered,Overdue,John Obi,Kano
PO100012,2025-06-25,SUP1032,Services Supplier 5 (NIG),MAT2068,Services Item 15,Services,275,175992.96,48398065.3,,NGN,2025-07-31,2025-08-12,Delivered,Overdue,Chidi Eze,Lagos
PO100013,2024-12-02,SUP1037,Services Supplier 10 (NIG),MAT2062,Services Item 9,Services,89,490921.28,43691994.04,,NGN,2024-12-31,2024-12-31,Delivered,Paid,John Obi,Lagos
PO100014,2024-10-18,SUP1038,Services Supplier 11 (CHI),MAT2064,Services Item 11,Services,720,365557.18,263201167.54,271016.66,USD,2024-11-25,2024-12-11,Delivered,Overdue,John Obi,Lagos
PO100015,2025-04-30,SUP1030,Services Supplier 3 (CHI),MAT2054,Services Item 1,Services,936,319659.99,299201749.2,192184.1,USD,2025-06-30,2025-06-30,Delivered,Overdue,Sarah Ahmed,Lagos
PO100016,2025-02-19,SUP1023,Equipment Supplier 5 (IND),MAT2044,Equipment Item 6,Equipment,781,307867.6,240444598.56,158886.21,USD,2025-05-20,2025-06-18,Delivered,Paid,Sarah Ahmed,Lagos
PO100017,2024-11-30,SUP1030,Services Supplier 3 (CHI),MAT2065,Services Item 12,Services,507,68945.44,34955338.35,32702.05,USD,2024-12-20,2025-01-09,Delivered,Overdue,John Obi,Kano
PO100018,2025-08-24,SUP1004,Raw Materials Supplier 5 (NIG),MAT2008,Raw Materials Item 9,Raw Materials,938,364567.33,341964158.03,,NGN,2025-11-12,2025-11-08,Delivered,Overdue,John Obi,Ibadan
PO100019,2024-08-29,SUP1005,Raw Materials Supplier 6 (NIG),MAT2009,Raw Materials Item 10,Raw Materials,276,122077.19,33693303.57,,NGN,2024-11-04,2024-11-04,Delivered,Overdue,Sarah Ahmed,Ibadan
PO100020,2024-11-09,SUP1007,Raw Materials Supplier 8 (USA),MAT2008,Raw Materials Item 9,Raw Materials,491,310347.68,152380711.41,123732.32,USD,2025-01-28,2025-02-14,Delivered,Paid,Chidi Eze,Lagos
PO100021,2024-03-27,SUP1008,Packaging Supplier 1 (CHI),MAT2036,Packaging Item 16,Packaging,214,141955.3,30378433.14,23420.84,USD,2024-05-23,2024-05-23,Delivered,Paid,Chidi Eze,Lagos
PO100022,2025-06-15,SUP1020,Equipment Supplier 2 (CHI),MAT2053,Equipment Item 15,Equipment,795,317959.79,252778036.0,196758.19,USD,2025-07-25,2025-07-27,Delivered,Paid,Sarah Ahmed,Lagos
PO100023,2025-10-09,SUP1001,Raw Materials Supplier 2 (UK),MAT2009,Raw Materials Item 10,Raw Materials,961,118803.73,114170386.65,85082.55,USD,2025-12-15,2026-01-04,Delivered,Paid,John Obi,Kano
PO100024,2026-02-01,SUP1017,Packaging Supplier 10 (IND),MAT2030,Packaging Item 10,Packaging,114,480614.5,54790053.14,52618.68,USD,2026-02-16,2026-02-18,Delivered,Paid,Sarah Ahmed,Kano
PO100025,2025-05-08,SUP1024,Equipment Supplier 6 (IND),MAT2046,Equipment Item 8,Equipment,80,490318.63,39225490.3,36557.35,USD,2025-05-28,2025-06-23,Delivered,Pending,Chidi Eze,Ibadan
PO100026,2026-02-18,SUP1018,Packaging Supplier 11 (IND),MAT2023,Packaging Item 3,Packaging,455,426442.82,194031481.88,159382.21,USD,2026-04-24,,Pending,Pending,Sarah Ahmed,Ibadan
PO100027,2025-05-16,SUP1021,Equipment Supplier 3 (NIG),MAT2047,Equipment Item 9,Equipment,340,157885.74,53681149.97,,NGN,2025-06-05,2025-06-05,Delivered,Overdue,John Obi,Ibadan
PO100028,2025-09-30,SUP1039,Services Supplier 12 (IND),MAT2064,Services Item 11,Services,354,345639.95,122356541.23,82630.78,USD,2025-11-07,2025-11-07,Delivered,Pending,Sarah Ahmed,Ibadan
PO100029,2025-10-27,SUP1021,Equipment Supplier 3 (NIG),MAT2039,Equipment Item 1,Equipment,579,265415.55,153675605.4,,NGN,2026-01-14,2026-01-14,Delivered,Overdue,Sarah Ahmed,Kano
PO100030,2024-10-28,SUP1032,Services Supplier 5 (NIG),MAT2070,Services Item 17,Services,671,186626.6,125226450.26,,NGN,2024-11-12,2024-11-08,Delivered,Paid,Sarah Ahmed,Kano
PO100031,2024-10-31,SUP1024,Equipment Supplier 6 (IND),MAT2041,Equipment Item 3,Equipment,689,72169.83,49725011.72,42189.6,USD,2024-12-21,2025-01-12,Delivered,Pending,Sarah Ahmed,Kano
PO100032,2025-06-03,SUP1026,Equipment Supplier 8 (NIG),MAT2042,Equipment Item 4,Equipment,323,417957.59,135000302.07,,NGN,2025-07-27,2025-07-27,Delivered,Paid,Chidi Eze,Kano
PO100033,2026-01-31,SUP1012,Packaging Supplier 5 (USA),MAT2028,Packaging Item 8,Packaging,206,273751.61,56392831.83,47494.35,USD,2026-04-12,,Pending,Pending,Chidi Eze,Ibadan
PO100034,2024-06-06,SUP1010,Packaging Supplier 3 (NIG),MAT2030,Packaging Item 10,Packaging,313,400623.74,125395231.36,,NGN,2024-06-21,2024-06-21,Partial,Paid,Sarah Ahmed,Lagos
PO100035,2024-04-20,SUP1027,Equipment Supplier 9 (IND),MAT2051,Equipment Item 13,Equipment,724,57211.61,41421206.75,31612.11,USD,2024-06-20,2024-06-21,Delivered,Pending,Sarah Ahmed,Ibadan
PO100036,2025-05-21,SUP1019,Equipment Supplier 1 (NIG),MAT2043,Equipment Item 5,Equipment,198,98023.84,19408719.45,,NGN,2025-08-05,2025-08-05,Delivered,Paid,John Obi,Ibadan
PO100037,2025-07-12,SUP1001,Raw Materials Supplier 2 (UK),MAT2013,Raw Materials Item 14,Raw Materials,600,33908.36,20345016.89,24137.29,USD,2025-08-31,2025-08-31,Delivered,Pending,John Obi,Lagos
PO100038,2024-06-25,SUP1037,Services Supplier 10 (NIG),MAT2056,Services Item 3,Services,630,454297.8,286207612.53,,NGN,2024-09-14,2024-10-12,Delivered,Overdue,Sarah Ahmed,Kano
PO100039,2025-05-09,SUP1027,Equipment Supplier 9 (IND),MAT2040,Equipment Item 2,Equipment,592,40744.16,24120541.78,18731.42,USD,2025-06-12,2025-06-20,Delivered,Pending,Chidi Eze,Lagos
PO100040,2024-08-03,SUP1008,Packaging Supplier 1 (CHI),MAT2021,Packaging Item 1,Packaging,187,483218.74,90361904.59,97664.67,USD,2024-08-31,2024-09-25,Delivered,Paid,Sarah Ahmed,Kano
PO100041,2024-12-10,SUP1038,Services Supplier 11 (CHI),MAT2068,Services Item 15,Services,82,172053.65,14108399.69,9166.48,USD,2025-01-15,2025-01-22,Delivered,Paid,Chidi Eze,Lagos
PO100042,2024-11-23,SUP1018,Packaging Supplier 11 (IND),MAT2023,Packaging Item 3,Packaging,83,404853.43,33602835.01,23431.26,USD,2025-01-27,2025-02-09,Delivered,Overdue,Chidi Eze,Ibadan
PO100043,2026-02-10,SUP1029,Services Supplier 2 (NIG),MAT2054,Services Item 1,Services,975,264717.7,258099761.42,,NGN,2026-04-12,,Pending,Pending,John Obi,Kano
PO100044,2024-04-05,SUP1036,Services Supplier 9 (NIG),MAT2060,Services Item 7,Services,762,173429.42,132153221.41,,NGN,2024-06-22,2024-06-22,Delivered,Paid,Chidi Eze,Ibadan
PO100045,2025-10-07,SUP1007,Raw Materials Supplier 8 (USA),MAT2016,Raw Materials Item 17,Raw Materials,791,266900.83,211118555.83,179461.44,USD,2025-10-23,2025-11-04,Delivered,Overdue,Chidi Eze,Ibadan
PO100046,2024-05-28,SUP1030,Services Supplier 3 (CHI),MAT2062,Services Item 9,Services,366,438138.04,160358523.88,151733.02,USD,2024-06-26,2024-06-26,Delivered,Overdue,Chidi Eze,Ibadan
PO100047,2024-12-16,SUP1030,Services Supplier 3 (CHI),MAT2061,Services Item 8,Services,843,562016.4,473779822.49,571261.13,USD,2025-01-11,2025-01-11,Delivered,Paid,Sarah Ahmed,Kano
PO100048,2024-02-26,SUP1036,Services Supplier 9 (NIG),MAT2066,Services Item 13,Services,433,380181.6,164618632.76,,NGN,2024-05-03,2024-05-29,Delivered,Paid,John Obi,Ibadan
PO100049,2025-09-09,SUP1010,Packaging Supplier 3 (NIG),MAT2036,Packaging Item 16,Packaging,959,115558.64,110820739.03,,NGN,2025-11-05,2025-12-01,Delivered,Paid,Chidi Eze,Lagos
PO100050,2025-01-08,SUP1001,Raw Materials Supplier 2 (UK),MAT2006,Raw Materials Item 7,Raw Materials,575,36366.91,20910971.64,21342.94,USD,2025-02-14,2025-02-16,Delivered,Paid,Chidi Eze,Lagos
PO100051,2025-07-19,SUP1019,Equipment Supplier 1 (NIG),MAT2045,Equipment Item 7,Equipment,531,378253.57,200852646.88,,NGN,2025-10-04,2025-10-29,Delivered,Paid,Sarah Ahmed,Kano
PO100052,2024-07-22,SUP1039,Services Supplier 12 (IND),MAT2068,Services Item 15,Services,205,186398.67,38211726.77,31669.12,USD,2024-08-27,2024-08-26,Delivered,Overdue,Sarah Ahmed,Kano
PO100053,2024-11-24,SUP1006,Raw Materials Supplier 7 (NIG),MAT2010,Raw Materials Item 11,Raw Materials,299,109035.31,32601557.29,,NGN,2024-12-13,2025-01-08,Delivered,Overdue,Chidi Eze,Ibadan
PO100054,2025-02-12,SUP1023,Equipment Supplier 5 (IND),MAT2040,Equipment Item 2,Equipment,575,42848.79,24638052.96,22362.29,USD,2025-03-18,2025-03-25,Delivered,Paid,Chidi Eze,Ibadan
PO100055,2024-10-21,SUP1037,Services Supplier 10 (NIG),MAT2061,Services Item 8,Services,54,475863.89,25696650.25,,NGN,2024-11-16,2024-12-05,Delivered,Paid,Sarah Ahmed,Lagos
PO100056,2024-07-03,SUP1019,Equipment Supplier 1 (NIG),MAT2045,Equipment Item 7,Equipment,900,297395.65,267656086.25,,NGN,2024-09-18,2024-09-19,Delivered,Overdue,John Obi,Kano
PO100057,2024-07-21,SUP1030,Services Supplier 3 (CHI),MAT2062,Services Item 9,Services,901,480758.23,433163167.39,469050.72,USD,2024-08-19,2024-08-30,Delivered,Overdue,Chidi Eze,Lagos
PO100058,2025-01-26,SUP1037,Services Supplier 10 (NIG),MAT2069,Services Item 16,Services,987,12032.89,11876459.53,,NGN,2025-02-26,2025-03-24,Delivered,Paid,Chidi Eze,Lagos
PO100059,2024-10-22,SUP1027,Equipment Supplier 9 (IND),MAT2044,Equipment Item 6,Equipment,242,351542.16,85073201.89,74158.73,USD,2025-01-20,2025-01-20,Delivered,Paid,Sarah Ahmed,Lagos
PO100060,2026-02-04,SUP1026,Equipment Supplier 8 (NIG),MAT2045,Equipment Item 7,Equipment,935,287851.5,269141155.24,,NGN,2026-04-22,,Pending,Pending,Sarah Ahmed,Ibadan
PO100061,2025-03-14,SUP1036,Services Supplier 9 (NIG),MAT2065,Services Item 12,Services,159,75832.63,12057387.69,,NGN,2025-04-03,2025-04-09,Delivered,Paid,Chidi Eze,Ibadan
PO100062,2025-11-20,SUP1018,Packaging Supplier 11 (IND),MAT2035,Packaging Item 15,Packaging,519,567935.23,294758386.27,322318.49,USD,2025-12-23,2026-01-03,Delivered,Paid,Sarah Ahmed,Ibadan
PO100063,2026-01-18,SUP1010,Packaging Supplier 3 (NIG),MAT2033,Packaging Item 13,Packaging,85,297401.92,25279163.07,,NGN,2026-01-30,2026-02-13,Delivered,Overdue,Chidi Eze,Ibadan
PO100064,2025-06-06,SUP1024,Equipment Supplier 6 (IND),MAT2048,Equipment Item 10,Equipment,213,170638.2,36345936.53,24513.87,USD,2025-08-29,2025-08-29,Delivered,Pending,Chidi Eze,Ibadan
PO100065,2026-02-10,SUP1027,Equipment Supplier 9 (IND),MAT2045,Equipment Item 7,Equipment,32,414674.61,13269587.49,10002.83,USD,2026-04-28,,Pending,Pending,Chidi Eze,Kano
PO100066,2024-04-15,SUP1029,Services Supplier 2 (NIG),MAT2070,Services Item 17,Services,862,199278.24,171777842.38,,NGN,2024-04-30,2024-04-30,Delivered,Pending,John Obi,Kano
PO100067,2024-09-06,SUP1025,Equipment Supplier 7 (GER),MAT2042,Equipment Item 4,Equipment,704,506630.74,356668043.17,252244.65,USD,2024-10-30,2024-11-02,Delivered,Paid,Sarah Ahmed,Ibadan
